episode,reward,episode_length,episode_time_s,success,progress_m,lap_time_s,best_lap_s,mean_speed_mps
206,1279.942723,283,14.15,0,168.03727776703283,14.15,15.65,17.62146705016493
207,786.485259,232,11.600000000000001,0,105.92772732550353,11.600000000000001,15.65,17.95426635146141
208,1584.64742,347,17.35,1,0.0,17.35,15.65,18.0
209,1283.24344,288,14.4,0,168.44886224826752,14.4,15.65,17.13682181686163
210,462.410212,177,8.85,0,64.70523250577844,8.85,15.65,12.994278739392772
211,1390.040012,310,15.5,0,182.35621893210157,15.5,15.65,17.924138849973676
212,469.23468,158,7.9,0,65.30029453389183,7.9,15.65,15.973826180398483
213,1587.399094,313,15.65,1,0.0,15.65,15.65,18.0
214,467.257976,165,8.25,0,65.09826077114653,8.25,15.65,14.272819152474415
215,959.480347,252,12.600000000000001,0,127.70396172609772,12.600000000000001,15.65,17.99345532953738
216,1365.826227,309,15.450000000000001,0,179.2015884291814,15.450000000000001,15.65,18.0
217,1591.047935,311,15.55,1,0.4699589584330298,15.55,15.55,17.872370159626005
218,1385.775861,320,16.0,0,181.5748822242572,16.0,15.55,18.0
219,462.758732,177,8.85,0,64.70523250577844,8.85,15.55,14.749366016685984
220,1591.223628,322,16.1,1,0.4699589584330298,16.1,15.55,18.0
221,1293.29747,308,15.4,0,169.99435886043702,15.4,15.55,17.34216695129871
222,1588.322656,307,15.350000000000001,1,0.0,15.350000000000001,15.350000000000001,18.0
223,1588.254557,313,15.65,1,0.2356322742179599,15.65,15.350000000000001,18.0
224,1591.229248,312,15.600000000000001,1,0.4699589584330298,15.600000000000001,15.350000000000001,17.629068124294278
225,1593.773718,325,16.25,1,0.7030067372177065,16.25,15.350000000000001,18.0
226,478.890951,167,8.35,0,66.58724839447758,8.35,15.350000000000001,16.336374597251435
227,1590.259068,318,15.9,1,0.4699589584330298,15.9,15.350000000000001,18.0
228,1589.368839,317,15.850000000000001,1,0.2356322742179599,15.850000000000001,15.350000000000001,18.0
229,1587.152927,325,16.25,1,0.0,16.25,15.350000000000001,17.712929552793504
230,1589.616791,317,15.850000000000001,1,0.2356322742179599,15.850000000000001,15.350000000000001,17.99043356180191
231,1589.288768,315,15.75,1,0.2356322742179599,15.75,15.350000000000001,17.976672685146333
232,1595.43445,305,15.25,1,0.7030067372177065,15.25,15.25,17.65313782095909
233,1292.523939,294,14.700000000000001,0,169.65982478469493,14.700000000000001,15.25,18.0
234,1594.178676,305,15.25,1,0.7030067372177065,15.25,15.25,17.483616967499255
235,1590.646877,305,15.25,1,0.2356322742179599,15.25,15.25,18.0
236,1592.867663,316,15.8,1,0.4699589584330298,15.8,15.25,18.0
237,1594.206509,315,15.75,1,0.7030067372177065,15.75,15.25,18.0
238,1594.044025,307,15.350000000000001,1,0.4699589584330298,15.350000000000001,15.25,18.0
239,1589.571767,309,15.450000000000001,1,0.0,15.450000000000001,15.25,17.804890304803845
240,1590.732311,301,15.05,1,0.0,15.05,15.05,18.0
241,1592.467723,307,15.350000000000001,1,0.2356322742179599,15.350000000000001,15.05,18.0
242,1595.650215,309,15.450000000000001,1,0.7030067372177065,15.450000000000001,15.05,17.7
243,1593.65383,305,15.25,1,0.4699589584330298,15.25,15.05,17.890570789575577
244,1300.230937,282,14.100000000000001,0,170.34295009516129,14.100000000000001,15.05,18.0
245,1589.995936,298,14.9,1,0.0,14.9,14.9,18.0
246,1589.978393,297,14.850000000000001,1,0.0,14.850000000000001,14.850000000000001,18.0
247,1589.5493,307,15.350000000000001,1,0.0,15.350000000000001,14.850000000000001,18.0
248,1589.684201,311,15.55,1,0.0,15.55,14.850000000000001,18.0
249,1589.841441,302,15.100000000000001,1,0.0,15.100000000000001,14.850000000000001,18.0
250,1592.77149,296,14.8,1,0.2356322742179599,14.8,14.8,17.848211932182313
251,1592.6877,320,16.0,1,0.7030067372177065,16.0,14.8,18.0
252,1594.082675,293,14.65,1,0.4699589584330298,14.65,14.65,18.0
253,1596.258415,296,14.8,1,0.7030067372177065,14.8,14.65,18.0
254,1589.428493,319,15.950000000000001,1,0.2356322742179599,15.950000000000001,14.65,18.0
255,1591.2884,292,14.600000000000001,1,0.0,14.600000000000001,14.600000000000001,18.0
256,1594.70704,291,14.55,1,0.4699589584330298,14.55,14.55,18.0
257,1295.700568,273,13.65,0,169.8253606642098,13.65,14.55,18.0
258,1592.280382,285,14.25,1,0.0,14.25,14.25,18.0
259,1592.222609,291,14.55,1,0.2356322742179599,14.55,14.25,17.66323842108249
260,1597.531659,288,14.4,1,0.7030067372177065,14.4,14.25,17.773549354076387
261,1593.004793,294,14.700000000000001,1,0.2356322742179599,14.700000000000001,14.25,18.0
262,1592.38479,293,14.65,1,0.2356322742179599,14.65,14.25,17.998819363117217
263,1595.854554,288,14.4,1,0.4699589584330298,14.4,14.25,18.0
264,1593.271054,306,15.3,1,0.4699589584330298,15.3,14.25,18.0
265,1592.202701,299,14.950000000000001,1,0.2356322742179599,14.950000000000001,14.25,17.886908572912215
266,1590.779549,293,14.65,1,0.0,14.65,14.25,18.0
267,1595.824093,292,14.600000000000001,1,0.7030067372177065,14.600000000000001,14.25,18.0
268,1593.286744,285,14.25,1,0.2356322742179599,14.25,14.25,17.957704603672028
269,1593.029545,292,14.600000000000001,1,0.2356322742179599,14.600000000000001,14.25,18.0
270,1592.810138,287,14.350000000000001,1,0.2356322742179599,14.350000000000001,14.25,17.7
271,1594.748817,287,14.350000000000001,1,0.4699589584330298,14.350000000000001,14.25,18.0
272,1595.63452,284,14.200000000000001,1,0.4699589584330298,14.200000000000001,14.200000000000001,17.81951852738857
273,1593.979463,278,13.9,1,0.2356322742179599,13.9,13.9,18.0
274,1590.998534,284,14.200000000000001,1,0.0,14.200000000000001,13.9,18.0
275,1595.358934,288,14.4,1,0.4699589584330298,14.4,13.9,18.0
276,1595.981754,293,14.65,1,0.7030067372177065,14.65,13.9,17.93292750120163
277,1291.064789,267,13.350000000000001,0,169.18323117642544,13.350000000000001,13.9,17.659530901908873
278,1591.87756,285,14.25,1,0.0,14.25,13.9,18.0
279,1592.349504,288,14.4,1,0.2356322742179599,14.4,13.9,18.0
280,1594.817382,286,14.3,1,0.4699589584330298,14.3,13.9,17.963177132606507
281,1590.591666,289,14.450000000000001,1,0.0,14.450000000000001,13.9,18.0
282,1593.89655,293,14.65,1,0.4699589584330298,14.65,13.9,18.0
283,1596.165992,294,14.700000000000001,1,0.7030067372177065,14.700000000000001,13.9,18.0
284,1591.66554,285,14.25,1,0.0,14.25,13.9,18.0
285,1595.662768,284,14.200000000000001,1,0.4699589584330298,14.200000000000001,13.9,18.0
286,1594.011865,292,14.600000000000001,1,0.4699589584330298,14.600000000000001,13.9,18.0
287,1593.250137,281,14.05,1,0.2356322742179599,14.05,13.9,17.887586259841918
288,1595.371699,280,14.0,1,0.4699589584330298,14.0,13.9,18.0
289,1594.814045,278,13.9,1,0.4699589584330298,13.9,13.9,18.0
290,453.515679,139,6.95,0,63.11774528441377,6.95,13.9,16.771242803335195
291,1597.079088,285,14.25,1,0.7030067372177065,14.25,13.9,18.0
292,1596.271587,282,14.100000000000001,1,0.7030067372177065,14.100000000000001,13.9,17.861376214027405
293,1590.321986,292,14.600000000000001,1,0.0,14.600000000000001,13.9,18.0
294,1591.392339,287,14.350000000000001,1,0.0,14.350000000000001,13.9,18.0
295,1593.493149,282,14.100000000000001,1,0.2356322742179599,14.100000000000001,13.9,18.0
296,1593.073226,282,14.100000000000001,1,0.2356322742179599,14.100000000000001,13.9,18.0
297,1595.265963,289,14.450000000000001,1,0.7030067372177065,14.450000000000001,13.9,18.0
298,1594.613743,282,14.100000000000001,1,0.4699589584330298,14.100000000000001,13.9,18.0
299,458.049032,145,7.25,0,63.78737538051568,7.25,13.9,17.15993892252446
300,1592.631088,284,14.200000000000001,1,0.2356322742179599,14.200000000000001,13.9,18.0
301,1597.429386,280,14.0,1,0.7030067372177065,14.0,13.9,18.0
302,1593.308904,281,14.05,1,0.2356322742179599,14.05,13.9,17.99986935853958
303,1597.093656,280,14.0,1,0.7030067372177065,14.0,13.9,18.0
304,1597.486335,277,13.850000000000001,1,0.7030067372177065,13.850000000000001,13.850000000000001,18.0
305,1596.608256,281,14.05,1,0.7030067372177065,14.05,13.850000000000001,18.0
306,1597.201619,283,14.15,1,0.7030067372177065,14.15,13.850000000000001,18.0
307,1597.434489,279,13.950000000000001,1,0.7030067372177065,13.950000000000001,13.850000000000001,18.0
308,1593.269082,280,14.0,1,0.2356322742179599,14.0,13.850000000000001,18.0
309,1594.557593,283,14.15,1,0.4699589584330298,14.15,13.850000000000001,18.0
310,1595.463412,280,14.0,1,0.4699589584330298,14.0,13.850000000000001,18.0
311,1596.111967,281,14.05,1,0.7030067372177065,14.05,13.850000000000001,18.0
312,1592.09675,287,14.350000000000001,1,0.2356322742179599,14.350000000000001,13.850000000000001,18.0
313,1593.63031,278,13.9,1,0.2356322742179599,13.9,13.850000000000001,18.0
314,1591.13362,278,13.9,1,0.0,13.9,13.850000000000001,18.0
315,1596.154003,285,14.25,1,0.7030067372177065,14.25,13.850000000000001,18.0
316,1592.948103,284,14.200000000000001,1,0.2356322742179599,14.200000000000001,13.850000000000001,18.0
317,1595.202914,280,14.0,1,0.4699589584330298,14.0,13.850000000000001,17.842145133018494
318,1596.15461,291,14.55,1,0.7030067372177065,14.55,13.850000000000001,18.0
319,1593.136241,280,14.0,1,0.2356322742179599,14.0,13.850000000000001,18.0
320,1595.222273,283,14.15,1,0.4699589584330298,14.15,13.850000000000001,17.7
321,1597.127236,279,13.950000000000001,1,0.7030067372177065,13.950000000000001,13.850000000000001,18.0
322,1595.656103,277,13.850000000000001,1,0.4699589584330298,13.850000000000001,13.850000000000001,18.0
